country,location,loc_code,lat,lon,cycle,phenotype_date,Year,Month,Day,NDVI
Bangladesh,Jamalpur,JAM,24.934,89.916,2019,2019-03-15,2019,3,15,0.37
Bangladesh,Jamalpur,JAM,24.934,89.916,2019,2019-03-20,2019,3,20,0.27
Bangladesh,Jamalpur,JAM,24.934,89.916,2019,2019-03-25,2019,3,25,0.17
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-01-31,2019,1,31,0.48
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-02-11,2019,2,11,0.63
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-02-22,2019,2,22,0.77
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-03-05,2019,3,5,0.83
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-03-19,2019,3,19,0.81
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-03-21,2019,3,21,0.83
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-03-27,2019,3,27,0.82
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-04-01,2019,4,1,0.78
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-04-07,2019,4,7,0.76
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-04-09,2019,4,9,0.72
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-04-19,2019,4,19,0.67
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-04-24,2019,4,24,0.59
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-04-29,2019,4,29,0.44
Nepal,Kathmandu,KHU,27.654,85.325,2019,2019-05-05,2019,5,5,0.25
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-01-09,2014,1,9,0.65
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-01-19,2014,1,19,0.7
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-02-10,2014,2,10,0.78
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-02-18,2014,2,18,0.78
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-02-28,2014,2,28,0.77
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-03-08,2014,3,8,0.7
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-03-20,2014,3,20,0.59
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-03-31,2014,3,31,0.41
India,Ludhiana,LDH-NS,30.991,75.736,2014,2014-04-07,2014,4,7,0.23
India,Ludhiana,LDH-NS,30.991,75.736,2015,2014-12-31,2014,12,31,0.57
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-01-07,2015,1,7,0.6
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-01-14,2015,1,14,0.69
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-01-29,2015,1,29,0.75
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-02-04,2015,2,4,0.79
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-02-05,2015,2,5,0.78
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-02-11,2015,2,11,0.77
